gamma,Load
0.00E+00,0
3.21898E-05,-0.009
1.0587E-05,0.006
2.11561E-05,-0.024
4.18386E-05,-0.012
5.18985E-05,-0.021
5.7527E-05,0.006
3.62727E-05,0
2.36666E-05,-0.018
3.01885E-05,-0.006
9.00563E-06,-0.006
8.89842E-06,0
1.45001E-05,-0.015
3.25203E-05,-0.015
3.57277E-05,0.012
3.75235E-06,-0.012
3.72644E-05,-0.012
2.03431E-05,-0.012
2.6454E-05,-0.021
1.05423E-05,-0.018
-4.28839E-06,0.003
4.87358E-05,0.006
4.27589E-05,0.012
3.08496E-05,-0.027
3.50666E-05,-0.006
3.05548E-06,-0.015
5.51E-05,-0.012
1.84133E-05,0.012
3.97E-05,-0.012
4.55E-05,-0.012
-4.92E-06,-0.006
3.51E-05,-0.012
5.09E-05,-0.003
3.72E-05,0.009
1.59743E-05,0
2.171E-06,-0.003
4.25623E-05,0.006
2.96793E-05,0.009
1.6278E-05,0.006
3.89797E-05,-0.015
5.04512E-05,-0.018
4.39024E-05,-0.018
3.5683E-05,-0.009
2.36398E-05,-0.012
8.08541E-06,-0.012
1.23023E-05,-0.018
6.58537E-05,0.006
5.02993E-06,-0.006
5.14607E-05,0.003
1.51166E-05,0.009
3.65854E-05,-0.009
2.76869E-05,-0.015
3.30921E-05,0
1.45448E-05,0
2.31127E-05,0
1.49379E-05,0
6.82927E-05,0
4.74E-05,-0.009
1.96E-05,-0.009
6.51E-05,0.082
1.89E-04,0.214
2.92E-04,0.336
0.00041106,0.43
0.000545475,0.543
0.00058726,0.604
0.000752211,0.702
0.000835728,0.781
0.000961413,0.836
0.001065997,0.934
0.001123407,0.98
0.001264058,1.053
0.001297954,1.086
0.001390503,1.129
0.001481515,1.184
0.001521656,1.218
0.001564585,1.266
0.001634745,1.306
0.001658358,1.321
0.001695229,1.361
0.001774377,1.349
0.001751675,1.37
0.001772813,1.382
0.001799419,1.401
0.001843831,1.41
1.81E-03,1.395
1.79E-03,1.385
1.80E-03,1.334
1.78E-03,1.297
1.85E-03,1.257
1.80E-03,1.196
1.77E-03,1.151
1.76E-03,1.05
1.68E-03,0.961
0.001649638,0.876
0.001553489,0.797
0.001537077,0.705
0.001487403,0.595
0.001423881,0.507
0.001337881,0.415
0.001208613,0.308
0.001141008,0.204
0.000990092,0.095
0.000884338,0.012
0.000789225,-0.122
0.000669231,-0.229
0.000609756,-0.369
0.000449772,-0.476
0.000382891,-0.604
0.000313178,-0.705
0.000185339,-0.839
0.000103779,-0.94
-2.95274E-05,-1.089
-0.000137675,-1.19
-0.000243804,-1.328
-3.40E-04,-1.45
-4.19E-04,-1.575
-5.13E-04,-1.7
-5.81E-04,-1.801
-7.06E-04,-1.938
-0.000781131,-2.029
-0.000902645,-2.136
-0.000882158,-2.24
-0.001014983,-2.301
-0.001098329,-2.408
-0.001141061,-2.499
-0.001195184,-2.536
-0.001230358,-2.597
-0.001262128,-2.649
-0.001325105,-2.707
-0.001361949,-2.744
-0.001358018,-2.792
-0.001403806,-2.802
-0.00140218,-2.814
-0.001379675,-2.82
-0.001405101,-2.783
-0.001413276,-2.792
-0.001380908,-2.756
-0.001410069,-2.679
-0.001432922,-2.64
-0.001415822,-2.582
-0.001449075,-2.493
-0.001385616,-2.365
-1.35E-03,-2.261
-1.30E-03,-2.155
-1.27E-03,-2.029
-1.19E-03,-1.901
-1.15E-03,-1.755
-1.03E-03,-1.642
-9.91E-04,-1.468
-9.26E-04,-1.306
-8.08E-04,-1.175
-7.48E-04,-1.013
-0.000644805,-0.87
-0.000528723,-0.726
-0.000469409,-0.568
-0.000368373,-0.415
-0.000225025,-0.284
-0.000165398,-0.183
-5.71607E-05,-0.037
6.02787E-05,0.092
0.000151532,0.168
0.000256911,0.25
0.000356643,0.345
0.000456705,0.418
0.000573448,0.504
0.000670714,0.626
0.000805959,0.699
0.000913053,0.766
0.00099246,0.848
0.001072653,0.891
0.001180675,0.986
1.27E-03,1.041
1.35E-03,1.089
1.43E-03,1.138
1.51E-03,1.193
1.54E-03,1.242
0.001637354,1.273
0.001673081,1.294
0.001709667,1.321
0.001732467,1.367
0.00178072,1.367
0.001801572,1.398
0.001818512,1.389
0.001798606,1.382
0.001778585,1.385
0.001769115,1.358
0.001750085,1.34
0.001817502,1.3
0.001814339,1.266
0.001830358,1.205
0.0017513,1.099
0.00174711,1.077
0.001690682,0.964
0.001630037,0.891
0.001573966,0.784
0.001507567,0.702
0.001501197,0.595
0.001410739,0.51
0.001294193,0.427
0.001187716,0.293
0.001062271,0.217
0.001004574,0.125
0.00086496,-0.006
7.82E-04,-0.089
6.67E-04,-0.214
6.17E-04,-0.348
4.54E-04,-0.464
0.000366738,-0.592
0.000293728,-0.708
0.000200831,-0.793
6.7301E-05,-0.934
-8.91629E-06,-1.05
-0.000132645,-1.187
-0.000223872,-1.312
-0.000328375,-1.471
-0.000393871,-1.559
-0.000526981,-1.691
-0.000592058,-1.797
-0.000674082,-1.907
-0.000787769,-2.008
-0.000855928,-2.115
-0.000949772,-2.225
-0.00103571,-2.313
-0.001020147,-2.377
-0.001168534,-2.502
-0.001192174,-2.551
-0.001240445,-2.634
-0.001289904,-2.686
-0.00130201,-2.728
-0.001336112,-2.774
-0.001317976,-2.811
-1.39E-03,-2.826
-1.38E-03,-2.814
-0.001375878,-2.835
-0.001381676,-2.853
-0.001368034,-2.811
-0.001417279,-2.78
-0.001412642,-2.719
-0.001441231,-2.646
-1.46E-03,-2.588
-0.001413365,-2.496
-0.001380238,-2.383
-0.001368748,-2.286
-0.001266944,-2.179
-0.001283427,-2.069
-0.001194505,-1.917
-0.001129536,-1.779
-0.001036925,-1.633
-0.000948262,-1.498
-0.000925873,-1.367
-0.00078692,-1.205
-0.000730474,-1.041
-0.000632502,-0.891
-0.000555052,-0.757
-0.000457759,-0.601
-0.000371956,-0.449
-0.000243902,-0.32
-0.000178978,-0.195
-5.81971E-05,-0.055
4.18E-05,0.076
1.72E-04,0.165
0.00022263,0.211
0.000397802,0.323
0.000455034,0.415
0.000575556,0.488
0.000695042,0.58
0.000761985,0.653
0.00091685,0.748
0.001012061,0.793
0.001100608,0.885
0.001187376,0.958
1.29E-03,1.022
1.37E-03,1.074
1.38E-03,1.123
0.001467873,1.157
0.001562271,1.208
0.001574788,1.254
0.001645412,1.279
0.00166169,1.328
0.001753078,1.358
0.00172062,1.321
0.001713374,1.34
0.001741186,1.343
0.001728929,1.352
0.001746065,1.346
0.001743608,1.328
0.001733959,1.312
1.73E-03,1.245
1.74E-03,1.221
0.001786152,1.135
0.001704941,1.102
0.00169145,1.007
0.001656098,0.937
0.00161073,0.854
0.001525909,0.757
0.001489878,0.677
0.001406031,0.58
0.001391888,0.482
0.001268864,0.372
0.001141044,0.278
0.001051863,0.183
0.000958563,0.119
0.00081769,0.018
0.000744376,-0.113
0.00068022,-0.25
5.40E-04,-0.388
0.000434673,-0.513
0.000337121,-0.607
0.000251934,-0.729
0.000176789,-0.83
1.46967E-05,-0.964
-1.36157E-05,-1.071
-0.000176351,-1.208
-0.000217475,-1.358
-0.000325578,-1.48
-4.68E-04,-1.617
-5.89E-04,-1.697
-0.000657232,-1.843
-0.000736005,-1.965
-0.000808514,-2.032
-0.000905218,-2.155
-0.000976887,-2.252
-0.001048191,-2.35
-0.00114887,-2.457
-0.001145171,-2.515
-0.001217573,-2.6
-0.001250925,-2.664
-0.001288386,-2.734
-0.00135448,-2.774
-0.001337997,-2.829
-0.001405477,-2.869
-0.001374145,-2.887
-0.001418815,-2.896
-0.001412329,-2.93
-0.001451005,-2.893
-0.001428679,-2.85
-0.001391852,-2.838
-0.001442786,-2.783
-1.48E-03,-2.744
-1.49E-03,-2.658
-0.001480211,-2.563
-0.001393835,-2.49
-1.38E-03,-2.35
-1.31E-03,-2.249
-0.001268266,-2.136
-0.001245439,-1.993
-0.001150978,-1.849
-0.001103743,-1.721
-0.001007129,-1.541
-0.000951452,-1.419
-0.000879979,-1.245
-0.000777718,-1.086
-0.000684732,-0.946
-0.000564674,-0.775
-0.000480014,-0.638
-0.000411177,-0.5
-0.000282069,-0.366
-0.000227803,-0.232
-7.87635E-05,-0.098
3.87653E-05,0.055
0.000209095,0.165
0.000327303,0.314
0.000492737,0.458
0.000665612,0.595
0.000835772,0.714
0.001022514,0.839
0.001183311,0.961
0.001323032,1.08
0.001489779,1.187
1.63E-03,1.263
0.001760216,1.395
0.001825132,1.489
0.001951103,1.575
0.002015411,1.651
0.00212716,1.703
0.002224346,1.764
0.002294631,1.819
0.00235549,1.822
0.002407013,1.883
0.002403886,1.883
0.002455588,1.935
0.002488457,1.929
0.002511266,1.929
0.002495533,1.932
0.002482543,1.929
0.002493818,1.929
0.002475136,1.862
0.002497659,1.797
0.002533173,1.74
0.002486241,1.651
0.002455329,1.55
0.002416528,1.459
0.00232339,1.349
0.002238033,1.236
0.002171572,1.093
0.002069561,0.974
0.001971848,0.833
0.001873635,0.705
0.001719628,0.571
0.001613616,0.436
0.001511909,0.299
0.001312267,0.162
0.001141142,0.034
0.000978174,-0.082
0.000817225,-0.247
0.000712115,-0.424
0.000530796,-0.574
0.000361369,-0.729
0.000218306,-0.919
5.38462E-05,-1.074
-0.000102707,-1.233
-0.000317252,-1.425
-0.000383114,-1.566
-0.000585312,-1.791
-0.000686358,-1.987
-0.00083755,-2.158
-0.001021942,-2.356
-0.001129804,-2.521
-0.001257438,-2.698
-0.001372063,-2.89
-0.001493791,-3.04
-0.001590315,-3.198
-0.001659457,-3.308
-0.001790959,-3.442
-0.001840373,-3.552
-0.001930483,-3.641
-0.001978665,-3.711
-0.002050648,-3.799
-0.002121594,-3.842
-0.002118538,-3.873
-0.002193639,-3.915
-0.002191924,-3.94
-0.002180077,-3.946
-0.002227035,-3.958
-0.002197722,-3.922
-0.002222416,-3.888
-0.002267819,-3.857
-0.002251496,-3.751
-0.002315108,-3.674
-0.002266372,-3.561
-0.002249022,-3.436
-0.002208791,-3.305
-0.002146502,-3.171
-2.10E-03,-3.012
-0.001999973,-2.82
-0.001935093,-2.625
-0.001794005,-2.454
-0.0016803,-2.231
-0.001622407,-2.032
-0.001496248,-1.822
-0.001377289,-1.593
-0.001223613,-1.367
-0.001098615,-1.147
-0.000961047,-0.946
-0.000803332,-0.742
-0.000682444,-0.552
-0.000509917,-0.339
-0.000385732,-0.183
-2.29E-04,-0.018
-2.84E-05,0.137
9.254E-05,0.186
0.000271572,0.357
0.000434388,0.473
0.000588412,0.586
0.000797463,0.711
0.000904288,0.787
0.001113357,0.922
0.001236907,1.016
0.001357205,1.102
0.001565041,1.208
0.001664138,1.279
0.001781006,1.373
0.001920111,1.465
0.001989208,1.523
0.00204233,1.602
0.002155383,1.657
0.002234325,1.752
0.002277057,1.773
0.002329635,1.822
0.002397552,1.88
0.00241207,1.88
0.002477665,1.938
0.002471223,1.947
0.002495283,1.965
0.002475967,1.935
0.002482275,1.907
0.002489154,1.849
0.002499857,1.801
0.002502207,1.736
0.002493576,1.651
0.002399205,1.556
0.002396793,1.474
0.002310069,1.349
0.00226932,1.205
0.002181479,1.111
0.0020912,0.964
0.001926293,0.83
0.001872402,0.69
0.001753775,0.562
0.001585947,0.443
0.001456205,0.287
0.001299366,0.159
0.001142482,0.034
0.001012427,-0.079
0.00079648,-0.266
0.000680908,-0.406
0.000522049,-0.546
0.000392987,-0.717
0.000249862,-0.858
2.96257E-05,-1.022
-0.000101349,-1.184
-0.000254579,-1.367
-0.000374171,-1.538
-0.000543956,-1.7
-0.000727053,-1.889
-8.74E-04,-2.078
-1.02E-03,-2.249
-0.001145493,-2.417
-0.001293478,-2.554
-0.001369124,-2.744
-0.001479532,-2.887
-0.001635781,-3.052
-0.001729358,-3.192
-0.001760332,-3.296
-0.00190243,-3.461
-0.001965729,-3.522
-0.002031448,-3.635
-0.002065988,-3.699
-0.002136407,-3.763
-0.002169758,-3.83
-0.002179443,-3.857
-0.002228777,-3.873
-0.002217037,-3.891
-0.002233539,-3.882
-0.002262852,-3.891
-0.002256044,-3.836
-0.002276459,-3.806
-0.002310873,-3.714
-0.002321156,-3.619
-0.002292415,-3.54
-0.002275878,-3.4
-0.002251005,-3.278
-0.002154284,-3.107
-2.12E-03,-2.975
-2.00E-03,-2.792
-0.001885562,-2.591
-0.001803547,-2.408
-0.001691289,-2.194
-0.001593889,-1.981
-0.001480801,-1.779
-0.001352131,-1.529
-0.001235656,-1.34
-0.001076226,-1.102
-9.74E-04,-0.897
-0.000857634,-0.699
-0.000647905,-0.516
-0.000546484,-0.323
-0.000379889,-0.153
-0.000203234,0.015
-7.4761E-05,0.159
6.67828E-05,0.226
0.000281569,0.345
0.000418762,0.479
0.000631788,0.601
0.000784892,0.711
0.000944805,0.827
0.001094916,0.897
0.001283642,1.001
0.001384312,1.089
0.001538542,1.205
0.001703466,1.285
0.001751336,1.361
0.001903252,1.443
0.001995354,1.526
0.002090646,1.587
0.002131886,1.672
0.002240409,1.721
0.002294916,1.791
0.002350487,1.843
0.002418556,1.892
0.002460216,1.907
0.002473662,1.929
0.002496292,1.935
0.002448629,1.944
0.00252624,1.938
0.002523738,1.913
0.002485741,1.859
0.002487349,1.822
0.002495524,1.73
0.002509792,1.657
0.00241023,1.572
0.002386375,1.447
0.002317359,1.355
0.002203547,1.221
0.002163781,1.096
0.002075243,0.964
0.002008648,0.842
0.001849129,0.699
0.001733494,0.558
1.62E-03,0.443
1.45E-03,0.284
0.001315671,0.159
0.001143554,0.052
0.000961119,-0.058
0.00085532,-0.223
0.000705405,-0.391
0.000571009,-0.54
0.000403288,-0.69
0.000262494,-0.845
0.000103985,-0.995
-9.91781E-05,-1.157
-0.000243885,-1.331
-0.000416171,-1.498
-0.000586786,-1.691
-0.000709015,-1.834
-0.000888046,-2.008
-0.001008103,-2.191
-0.00116077,-2.371
-0.001243313,-2.524
-0.001398043,-2.67
-0.001491754,-2.841
-0.001597043,-2.994
-0.001747396,-3.152
-0.001788395,-3.259
-0.001933458,-3.384
-0.002014822,-3.494
-0.00200126,-3.583
-0.002101519,-3.641
-0.002115251,-3.714
-0.002179121,-3.781
-0.002202627,-3.806
-0.002196257,-3.842
-0.002222666,-3.86
-0.002237586,-3.833
-0.002229367,-3.848
-0.002254132,-3.842
-0.002295488,-3.766
-0.00231316,-3.683
-0.002272527,-3.592
-0.002315206,-3.503
-0.002272277,-3.384
-0.002240373,-3.22
-0.002166059,-3.101
-0.002069517,-2.942
-0.001993755,-2.777
-0.001954105,-2.56
-0.001798472,-2.386
-0.001695533,-2.167
-0.001581211,-1.953
-0.001484606,-1.746
-0.001354704,-1.535
-0.001267087,-1.318
-0.001108487,-1.111
-0.00094141,-0.864
-0.000843724,-0.69
-6.88E-04,-0.485
-5.55E-04,-0.317
-0.000442259,-0.134
-0.000212115,0.037
-2.29965E-05,0.162
0.000244233,0.339
0.000467775,0.549
0.000727249,0.705
0.001017949,0.867
0.001246744,1.007
0.001498678,1.157
0.001699321,1.318
0.001954159,1.492
0.002119119,1.663
0.002302537,1.791
0.002503913,1.999
0.002630903,2.148
0.002807317,2.258
0.002956616,2.368
0.003028634,2.444
0.00313001,2.542
0.003214554,2.591
0.003314831,2.664
0.003349013,2.713
0.00343613,2.78
0.003448959,2.795
0.003544233,2.814
0.003507487,2.814
0.003499491,2.795
0.003511025,2.802
0.003486742,2.744
0.003517859,2.673
0.003564111,2.603
0.003513687,2.469
0.003441731,2.341
0.003375002,2.216
0.003297865,2.072
0.003220924,1.91
0.003081649,1.721
0.002965353,1.544
0.002856705,1.373
0.002687331,1.169
0.00254065,0.974
0.002384946,0.793
0.002198008,0.604
0.002004369,0.418
0.001755928,0.241
0.001522648,0.067
0.00128868,-0.095
0.001059734,-0.262
0.000793094,-0.461
0.000560368,-0.674
0.000308193,-0.882
7.8692E-05,-1.093
-0.000144966,-1.312
-0.000390351,-1.541
-0.000653712,-1.804
-0.000864424,-2.048
-0.001090887,-2.313
-0.001259743,-2.542
-0.001498821,-2.826
-0.001678746,-3.064
-0.001843268,-3.299
-0.001974716,-3.549
-0.002147878,-3.766
-0.002289395,-3.967
-0.002430653,-4.156
-0.00257217,-4.297
-0.002693675,-4.41
-0.002871982,-4.547
-0.002931475,-4.639
-0.003052738,-4.697
-0.003102484,-4.77
-0.00322808,-4.788
-0.003268328,-4.849
-0.003341848,-4.871
-0.003384276,-4.874
-0.003405941,-4.889
-0.003439516,-4.886
-0.003375413,-4.843
-0.003433146,-4.825
-0.003459975,-4.7
-0.003503181,-4.614
-0.003546359,-4.495
-0.00350176,-4.333
-0.003462503,-4.19
-0.003401161,-3.992
-0.003337908,-3.784
-0.003201992,-3.574
-0.003111471,-3.308
-0.003027285,-3.064
-0.002858233,-2.786
-0.002750451,-2.527
-0.002597811,-2.206
-0.002412106,-1.917
-0.002274984,-1.642
-0.002057813,-1.331
-0.001826624,-1.068
-0.001680917,-0.8
-0.00149598,-0.525
-0.001243232,-0.293
-0.001011561,-0.067
-0.00078215,0.104
-0.000544099,0.226
-0.000280184,0.4
-5.89476E-05,0.54
0.00023043,0.665
0.000507129,0.806
0.000778049,0.909
0.001003743,1.044
0.001252971,1.157
0.001470258,1.3
0.001733682,1.407
0.001922666,1.538
0.002169132,1.691
2.33E-03,1.831
0.002500357,1.965
0.0026399,2.06
0.002801769,2.206
0.002919602,2.322
0.003048423,2.435
0.003135647,2.521
0.003220745,2.591
0.003303994,2.676
0.003387555,2.728
0.003419521,2.768
0.003464013,2.811
0.003476869,2.802
0.003479282,2.814
0.003487832,2.802
0.003493871,2.771
0.003508023,2.673
0.003533735,2.594
0.003506754,2.475
0.003439543,2.368
0.003413231,2.225
0.003267703,2.063
0.003171232,1.895
0.003071286,1.718
0.002966685,1.511
0.002786027,1.331
0.002646601,1.166
0.002471732,0.989
0.002322219,0.784
0.00219539,0.598
0.001975377,0.409
0.001719771,0.235
0.001530528,0.067
0.001272724,-0.058
0.00103764,-0.25
0.000827303,-0.418
0.000562119,-0.592
0.000328491,-0.748
2.63647E-05,-0.949
-0.000232449,-1.144
-0.000427866,-1.321
-0.000718386,-1.553
-0.000934155,-1.752
-0.001199232,-1.99
-0.001384866,-2.228
-0.001609247,-2.438
-0.001808023,-2.686
-0.001978353,-2.893
-0.002156276,-3.113
-0.002293684,-3.299
-0.0024539,-3.5
-0.002620602,-3.671
-0.002712392,-3.86
-0.002841035,-4.001
-0.002983615,-4.169
-0.003060976,-4.321
-0.003119834,-4.431
-0.003220048,-4.501
-0.00334694,-4.602
-0.003337523,-4.669
-0.003393183,-4.703
-0.003442509,-4.749
-0.003463272,-4.77
-0.00347125,-4.758
-0.003441562,-4.73
-0.003500742,-4.7
-0.003532449,-4.62
-0.003525596,-4.52
-0.00361769,-4.404
-0.003519807,-4.251
-0.003509006,-4.068
-0.003413142,-3.894
-0.003334575,-3.696
-0.00324979,-3.479
-0.003130287,-3.198
-0.00306706,-2.945
-0.00288843,-2.707
-0.002752756,-2.399
-0.002603395,-2.112
-0.002412133,-1.84
-0.002279889,-1.55
-0.002131609,-1.263
-0.001964299,-0.998
